IDKaryawan;NamaDepan;NamaBelakang;Jabatan;Email;HireDate;Extension
1011;Darrel;Pate;Customer Service Representative;dpate@red30tech.com#mailto:dpate@red30tech.com#;28/10/2012;1628
1029;Mary;Small;Designer;msmall@red30tech.com#mailto:msmall@red30tech.com#;21/11/2012;1469
1051;Yuli;Shepard;Travel Writer;yshepard@red30tech.com#mailto:yshepard@red30tech.com#;02/01/2013;1785
1053;Medge;Rollins;Customer Service Representative;mrollins@red30tech.com#mailto:mrollins@red30tech.com#;02/02/2013;1400
1075;Dolan;York;Server Adminstrator;dyork@red30tech.com#mailto:dyork@red30tech.com#;09/03/2013;1277
1079;Dakota;Alston;Executive Assistant;dalston@red30tech.com#mailto:dalston@red30tech.com#;09/03/2013;1614
1098;Samuel;Brooks;Video Editor;sbrooks@red30tech.com#mailto:sbrooks@red30tech.com#;14/04/2013;1571
1121;Ursula;Ballard;Executive Assistant;uballard@red30tech.com#mailto:uballard@red30tech.com#;03/05/2013;1615
1195;Kiona;Hancock;Customer Service Representative;khancock@red30tech.com#mailto:khancock@red30tech.com#;02/06/2013;1840
1253;Cadman;Powers;Photographer;cpowers@red30tech.com#mailto:cpowers@red30tech.com#;09/07/2013;1829
1259;Gail;Powers;Sales Representative;gpowers@red30tech.com#mailto:gpowers@red30tech.com#;20/08/2013;1661
1284;Donovan;Jarvis;CEO;djarvis@red30tech.com#mailto:djarvis@red30tech.com#;08/09/2013;1662
1300;Adena;Morse;Customer Service Representative;amorse@red30tech.com#mailto:amorse@red30tech.com#;16/09/2013;1409
1306;Rhonda;Hahn;Server Adminstrator;rhahn@red30tech.com#mailto:rhahn@red30tech.com#;05/10/2013;1600
1327;Donovan;England;Product Manager;dengland@red30tech.com#mailto:dengland@red30tech.com#;16/01/2014;1327
1342;Sonia;Haynes;Sales Representative;shaynes@red30tech.com#mailto:shaynes@red30tech.com#;14/03/2014;1317
1365;Elliott;Moore;Sales Representative;emoore@red30tech.com#mailto:emoore@red30tech.com#;20/03/2014;1320
1368;Rowan;Justice;HR Assistant;rjustice@red30tech.com#mailto:rjustice@red30tech.com#;26/06/2014;1568
1409;Deanna;Michael;Web Designer;dmichael@red30tech.com#mailto:dmichael@red30tech.com#;31/07/2014;1876
1448;Athena;Bean;Customer Service Representative;abean@red30tech.com#mailto:abean@red30tech.com#;13/08/2014;1878
1483;Dillon;Hahn;HR Assistant;dhahn@red30tech.com#mailto:dhahn@red30tech.com#;14/08/2014;1385
1489;Sierra;Obrien;Engineer;sobrien@red30tech.com#mailto:sobrien@red30tech.com#;29/08/2014;1761
1493;Isaiah;Kelley;Engineer;ikelley@red30tech.com#mailto:ikelley@red30tech.com#;11/12/2014;1646
1511;Isabella;Bauer;Customer Service Representative;ibauer@red30tech.com#mailto:ibauer@red30tech.com#;31/01/2015;1291
1570;Shafira;Lambert;Designer;slambert@red30tech.com#mailto:slambert@red30tech.com#;29/05/2015;1867
1580;Joy;Gibbs;Copy Writer;jgibbs@red30tech.com#mailto:jgibbs@red30tech.com#;30/07/2015;1806
1584;Gil;Leach;Senior Writer;gleach@red30tech.com#mailto:gleach@red30tech.com#;10/01/2016;1563
1593;Guy;Maddox;Designer;gmaddox@red30tech.com#mailto:gmaddox@red30tech.com#;01/03/2016;1827
1594;Tatum;Hoover;Product Manager;thoover@red30tech.com#mailto:thoover@red30tech.com#;30/04/2016;1416
